dia;peça;Medicao;Temperatura;Colaborador;Defeito?;Nome defeito
3;peca1;14.35883657061074;21.10438784751272;Homero;0;-
7;peca2;8.858221277804782;27.856615952458245;Hesiodo;0;-
5;peca2;9.026443312889116;27.061502132016184;Sofocles;0;-
6;peca2;9.086339298734302;26.20484579181641;Sofocles;0;-
1;peca2;11.067583688683923;18.930704316612065;Homero;1;d1
5;peca1;14.90750636034917;26.77921468238287;Sófocles;0;-
1;peca1;13.856266580858149;21.138063936078893;Homero;1;d1
6;peca2;8.767082396294835;26.558317220208256;Sófocles;0;-
2;peca2;11.017888487830843;20.62018095044752;Homero;1;d2
3;peca2;9.193273447523977;21.679003588804445;Hesiodo;0;-
3;peca2;9.478360439798728;23.47042523454704;Hesiodo;0;-
7;peca1;14.915530660262018;27.348835453781856;Sofocles;0;-
1;peca1;13.957230879795464;18.694203135577936;Homero;1;d2
2;peca1;13.883199779199852;20.697875151778977;Homero;1;d2
5;peca2;9.038781998028169;27.716921095194053;Sofocles;0;-
3;peca2;9.29089192654736;23.025078936100435;Sófocles;0;-
7;peca1;14.890910332023807;27.409584749189086;Sofocles;0;-
7;peca1;14.913908659733782;27.93619370747923;Hesiodo;0;-
3;peca1;14.319816700765283;19.561331399336524;Sófocles;0;-
5;peca2;9.020198892565487;24.87803125427713;Sofocles;0;-
2;peca2;11.107429271544007;18.650809503030857;Hesiodo;1;d3
3;peca1;14.307664958217226;27.911198556614643;Homero;0;-
2;peca2;10.951214129287242;21.422271662888527;Sófocles;1;d5
5;peca2;9.048784700034773;25.794295059487553;Sófocles;0;-
1;peca2;10.94113563257787;20.34363312876568;Sófocles;1;d1
7;peca2;9.018139324704437;25.354710183069162;Homero;0;-
1;peca1;13.862778224130238;19.486622864862998;Hesiodo;1;d1
7;peca1;14.889564248388535;27.723953276623362;Hesiodo;0;-
5;peca1;14.894543737978548;27.004557520868918;Sófocles;0;-
4;peca2;9.775705679242149;23.638596211304783;Hesiodo;0;-
6;peca2;8.879581591497029;26.064046264441558;Sófocles;0;-
7;peca2;8.849833688254032;27.402358118656256;Sófocles;0;-
2;peca1;14.123749611337983;18.872496223471416;Sófocles;1;d2
3;peca1;14.335680213137733;28.28114974926399;Sófocles;0;-
3;peca2;9.542040935491611;23.203884771350072;Hesiodo;0;-
1;peca2;11.109675815222397;20.32251610554995;Hesiodo;1;d1
6;peca1;14.926055607488255;26.006336139180092;Homero;0;-
1;peca1;13.898094800520452;21.303527227488438;Hesiodo;1;d1
2;peca1;14.036204499575039;19.932372737044243;Sófocles;1;d2
3;peca1;14.329820037641673;26.031322216691727;Hesiodo;0;-
7;peca1;14.942667828720186;28.217427506731667;Sófocles;0;-
5;peca1;14.923860147814379;27.543733995825523;Sofocles;0;-
4;peca2;9.893155235124649;25.487700592956706;Sófocles;0;-
7;peca2;8.992767270376248;27.604539804524734;Sofocles;0;-
1;peca2;11.067582181498148;19.794360558796598;Sófocles;1;d2
3;peca1;14.327711382169154;24.861055426362483;Hesiodo;0;-
1;peca2;11.004174993602549;20.302232054983403;Homero;1;d2
4;peca1;14.23214644893572;22.79591339211288;Sófocles;0;-
4;peca1;14.24608366414084;22.298093052820924;Homero;0;-
2;peca1;14.054726521008922;19.795608982821815;Homero;1;d2
5;peca1;14.881361904037945;27.878867736019245;Hesiodo;0;-
3;peca2;9.371676863943371;23.684161699275933;Sofocles;1;d8
2;peca1;14.073302297521515;19.883032006877198;Homero;1;d2
3;peca1;14.272845353825533;21.592277756452035;Sófocles;0;-
2;peca1;14.046699680361709;20.001327269310934;Sofocles;1;d3
4;peca2;9.43344838928183;26.023457544800763;Sófocles;0;-
2;peca2;11.083006141591879;21.901241645820583;Sofocles;1;d5
1;peca1;14.009532633908385;17.937384596023946;Sófocles;1;d1
7;peca1;14.8883276878008;26.731298443054975;Sofocles;0;-
5;peca2;8.994107899379708;28.052828210997284;Sofocles;0;-
4;peca2;9.47700314058761;22.329939207159036;Homero;0;-
2;peca2;11.129150137652818;19.48075156316895;Hesiodo;1;d3
3;peca2;9.252929342837028;20.19170996144343;Sófocles;0;-
3;peca2;9.648061228897106;26.154510292782064;Homero;0;-
3;peca2;9.372474460072647;21.966194209929863;Sofocles;1;d8
1;peca1;13.935938390948271;19.675693334630594;Sófocles;1;d2
2;peca1;14.092762264238218;20.60095883611596;Hesiodo;1;d7
4;peca2;9.670377597395321;24.106389995572776;Hesiodo;0;-
1;peca1;13.973170526602965;19.590895874625474;Hesiodo;1;d1
6;peca2;8.986901491358935;26.420940501181622;Sofocles;0;-
7;peca2;8.84795819420993;26.90049358318108;Sófocles;0;-
4;peca2;9.103194339582219;24.209686605926212;Sófocles;0;-
7;peca1;14.904814786762461;29.431544236350103;Sofocles;0;-
3;peca1;14.33267574219964;25.79501427592501;Hesiodo;0;-
6;peca2;9.061673446384237;27.00547610510813;Homero;0;-
6;peca1;14.8989445048291;25.577277198925337;Hesiodo;0;-
