Agencia;dia;categoria;Senhas atendimento;time;Até 5 min. de espera;5 a 10 min. de espera;10 a 15 min. de espera;15 a 20 min. de espera;20 a 30 min. de espera;30 a 40 min. de espera;40 a 50 min. de espera;Acima de 50 min. de espera
Araras;02/01/2023;3 - A - CAIXA ;26;00:04:34;19;2;2;3;0;0;0;0
Araras;02/01/2023;4 - B - CAIXA PREFERENCIAL;8;00:01:00;8;0;0;0;0;0;0;0
Araras;03/01/2023;3 - A - CAIXA ;28;00:04:46;19;4;3;2;0;0;0;0
Araras;03/01/2023;4 - B - CAIXA PREFERENCIAL;8;00:02:36;7;1;0;0;0;0;0;0
Araras;04/01/2023;3 - A - CAIXA ;21;00:03:09;15;5;1;0;0;0;0;0
Araras;04/01/2023;4 - B - CAIXA PREFERENCIAL;3;00:02:15;3;0;0;0;0;0;0;0
Araras;05/01/2023;3 - A - CAIXA ;36;00:03:49;29;2;1;3;1;0;0;0
Araras;05/01/2023;4 - B - CAIXA PREFERENCIAL;18;00:04:52;12;3;3;0;0;0;0;0
Araras;06/01/2023;3 - A - CAIXA ;42;00:08:34;19;6;7;7;3;0;0;0
Araras;06/01/2023;4 - B - CAIXA PREFERENCIAL;14;00:03:18;10;4;0;0;0;0;0;0
Araras;09/01/2023;3 - A - CAIXA ;45;00:16:53;3;8;13;4;11;5;1;0
Araras;09/01/2023;4 - B - CAIXA PREFERENCIAL;12;00:02:55;10;2;0;0;0;0;0;0
Araras;09/01/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;1;00:04:31;1;0;0;0;0;0;0;0
Araras;10/01/2023;3 - A - CAIXA ;35;00:15:24;9;8;3;2;5;7;1;0
Araras;10/01/2023;4 - B - CAIXA PREFERENCIAL;12;00:04:34;7;4;1;0;0;0;0;0
Araras;11/01/2023;3 - A - CAIXA ;32;00:07:16;13;9;5;4;1;0;0;0
Araras;11/01/2023;4 - B - CAIXA PREFERENCIAL;6;00:04:30;5;0;0;1;0;0;0;0
Araras;12/01/2023;3 - A - CAIXA ;22;00:05:16;12;7;2;0;1;0;0;0
Araras;12/01/2023;4 - B - CAIXA PREFERENCIAL;8;00:04:52;5;1;2;0;0;0;0;0
Araras;13/01/2023;3 - A - CAIXA ;21;00:09:00;11;2;2;1;5;0;0;0
Araras;13/01/2023;4 - B - CAIXA PREFERENCIAL;7;00:02:33;5;2;0;0;0;0;0;0
Araras;16/01/2023;3 - A - CAIXA ;31;00:05:36;22;1;3;4;1;0;0;0
